Time	numpids	numthreads	maxprocessors	maxcores	maxcpus	cpu_ids	sumuss	sumswap	sum_read_count	sum_write_count	sum_read_bytes	sum_write_bytes	sum_read_chars	sum_write_chars
2025-11-05 17:33:40	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:41	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:42	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:43	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:44	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:45	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:46	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:47	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:48	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:49	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:50	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:51	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:52	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:53	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:54	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:55	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:56	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:57	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:33:59	2	2	2	2	1	1	3141632	0	89	5	0	0	56977	782
2025-11-05 17:34:00	2	2	2	2	1	1	3170304	0	238	129	0	475136	548416	475396
2025-11-05 17:34:01	2	2	1	1	1	1	3170304	0	22631	29346	0	120053760	120286948	120051790
2025-11-05 17:34:02	2	2	2	2	1	1	634880	0	42846	55167	0	225734656	226098985	225729995
2025-11-05 17:34:03	2	2	2	2	1	1	634880	0	42846	55167	0	225734656	226098985	225729995
2025-11-05 17:34:04	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:05	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:06	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:07	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:08	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:09	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:10	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:11	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:12	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:13	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:14	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:15	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:16	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:17	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:18	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:19	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:20	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:21	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:22	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:24	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:25	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:26	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:27	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:28	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:29	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:30	2	2	2	2	1	1	3362816	0	42908	55171	0	225734656	226145138	225730747
2025-11-05 17:34:31	2	2	2	2	1	1	3379200	0	53029	68690	0	281006080	281501669	281001723
2025-11-05 17:34:32	2	2	2	2	1	1	634880	0	69401	89564	0	366391296	366989795	366381105
2025-11-05 17:34:33	2	2	2	2	1	1	634880	0	69401	89564	0	366391296	366989795	366381105
2025-11-05 17:34:34	2	2	2	2	1	1	1011712	0	69473	89565	4096	366391296	379846090	366381137
2025-11-05 17:34:35	2	2	2	2	1	1	1011712	0	69615	89565	4096	366391296	417070538	366381137
2025-11-05 17:34:36	2	2	2	2	1	1	1011712	0	69694	89565	4096	366391296	437779914	366381137
2025-11-05 17:34:37	2	2	2	2	1	1	1011712	0	69803	89565	4096	366391296	466353610	366381137
2025-11-05 17:34:38	2	2	2	2	1	1	1011712	0	69955	89565	4096	366391296	506199498	366381137
2025-11-05 17:34:39	2	2	2	2	1	1	1011712	0	70104	89565	4096	366391296	545258954	366381137
2025-11-05 17:34:40	2	2	2	2	1	1	1011712	0	70257	89565	4096	366391296	585366986	366381137
2025-11-05 17:34:41	3	3	3	3	1	1	1675264	0	85856	114117	4096	366391296	743394652	494374902
2025-11-05 17:34:42	3	3	3	3	1	1	1675264	0	106585	133669	4096	366391296	942951772	663997017
2025-11-05 17:34:43	3	3	3	3	1	1	1675264	0	139522	142078	4096	366391296	1229278556	933298318
2025-11-05 17:34:44	3	3	3	3	1	1	1675264	0	166198	155512	4096	366391296	1473006940	1151339271
2025-11-05 17:34:45	3	3	3	3	1	1	1675264	0	186391	170069	4096	366391296	1671187804	1316208706
2025-11-05 17:34:46	3	3	3	3	1	1	1675264	0	207362	184937	4096	366391296	1875594588	1487574457
2025-11-05 17:34:47	3	3	3	3	1	1	1675264	0	226989	202467	4096	366391296	2070236508	1647879554
2025-11-05 17:34:48	2	2	2	2	1	1	643072	0	244717	220120	4096	366391296	2240685867	1793131205
2025-11-05 17:34:49	2	2	2	2	1	1	643072	0	244717	220120	4096	366391296	2240685867	1793131205
